phase,1D,2D,3D
0.000000000000000000e+00,1.624245087166845646e-03,1.707624502810948944e-03,1.772119226704372240e-03
5.025125628140703592e-03,6.147464094536007548e-03,6.514908216889359581e-03,6.850865611623482149e-03
1.005025125628140718e-02,1.070863840948300949e-02,1.135725914666287431e-02,1.196201447243841302e-02
1.507537688442210991e-02,1.530808899257919686e-02,1.623496783673952434e-02,1.710620028004002438e-02
2.010050251256281437e-02,1.994517419140565129e-02,2.114721191939145789e-02,2.228171534503698564e-02
2.512562814070351883e-02,2.461882762993057583e-02,2.609318338306481494e-02,2.748890306323063457e-02
3.015075376884421982e-02,2.932975571579462745e-02,3.107311213033806668e-02,3.272646830062857226e-02
3.517587939698492427e-02,3.407608258575269000e-02,3.608537874898988529e-02,3.799440227753873855e-02
4.020100502512562873e-02,3.885820259343977096e-02,4.113047472505541868e-02,4.329141667377843505e-02
4.522613065326633319e-02,4.367520059266254140e-02,4.620701889260980799e-02,4.861730494200394714e-02
5.025125628140703765e-02,4.852625320462445463e-02,5.131478420858988365e-02,5.397111627979372939e-02
5.527638190954774211e-02,5.341175187991530071e-02,5.645339857094121283e-02,5.935243503290560385e-02
6.030150753768843963e-02,5.832996707197405512e-02,6.162146706443932809e-02,6.476063569529783015e-02
6.532663316582915103e-02,6.328135722310325451e-02,6.681961701908936679e-02,7.019485017518575787e-02
7.035175879396984855e-02,6.826475418897992586e-02,7.204600837558013116e-02,7.565458547312062243e-02
7.537688442211055995e-02,7.327956249017467116e-02,7.730079401406578232e-02,8.113892323249648209e-02
8.040201005025125747e-02,7.832587625228594475e-02,8.258307784053442457e-02,8.664758266145472509e-02
8.542713567839195499e-02,8.340210835745519302e-02,8.789203968263067934e-02,9.217952630916972923e-02
9.045226130653266639e-02,8.850877124020575804e-02,9.322773305801815291e-02,9.773454435649245320e-02
9.547738693467336391e-02,9.364446624108754835e-02,9.858860671093022665e-02,1.033112410098276923e-01
1.005025125628140753e-01,9.880880882773196427e-02,1.039750711692135898e-01,1.089097177683048256e-01
1.055276381909547728e-01,1.040016155083920840e-01,1.093856525709147876e-01,1.145284048612859040e-01
1.105527638190954842e-01,1.092214367257023366e-01,1.148199909760250770e-01,1.201676297178976838e-01
1.155778894472361817e-01,1.144688280634579558e-01,1.202776189384064387e-01,1.258256751994141498e-01
1.206030150753768793e-01,1.197421847126536598e-01,1.257572724402661879e-01,1.315027911747772282e-01
1.256281407035175768e-01,1.250413143663999527e-01,1.312593516499297452e-01,1.371973281930153887e-01
1.306532663316583021e-01,1.303657776001818924e-01,1.367821338833978551e-01,1.429094176979259223e-01
1.356783919597989996e-01,1.357142566002513817e-01,1.423256417128752060e-01,1.486376327561315380e-01
1.407035175879396971e-01,1.410873385594498819e-01,1.478889439685197871e-01,1.543819220902576950e-01
1.457286432160803946e-01,1.464832386538760800e-01,1.534712550260659003e-01,1.601409959586992948e-01
1.507537688442211199e-01,1.519019364045945397e-01,1.590724550045165830e-01,1.659145599557502737e-01
1.557788944723618174e-01,1.573427600082925037e-01,1.646910668346136253e-01,1.717015761271027119e-01
1.608040201005025149e-01,1.628045884806107457e-01,1.703272573266981227e-01,1.775015583887139259e-01
1.658291457286432125e-01,1.682878129920059307e-01,1.759796925814166579e-01,1.833136699797003055e-01
1.708542713567839100e-01,1.737907119323391369e-01,1.816479600421476159e-01,1.891372433206141290e-01
1.758793969849246352e-01,1.793133428627498582e-01,1.873315077526075401e-01,1.949715814053003538e-01
1.809045226130653328e-01,1.848548269084982765e-01,1.930291568621850251e-01,2.008158547998886156e-01
1.859296482412060303e-01,1.904142507667729023e-01,1.987410888946858634e-01,2.066695285621202582e-01
1.909547738693467278e-01,1.959917414472555353e-01,2.044657320037615578e-01,2.125317815539742028e-01
1.959798994974874531e-01,2.015857252184851400e-01,2.102029745233816582e-01,2.184024037823102393e-01
2.010050251256281506e-01,2.071962957880665313e-01,2.159518783366718986e-01,2.242802942288387169e-01
2.060301507537688481e-01,2.128223941466212410e-01,2.217116537609353233e-01,2.301651975274163764e-01
2.110552763819095456e-01,2.184632935750230875e-01,2.274820529371507083e-01,2.360558573777686298e-01
2.160804020100502432e-01,2.241188816162892894e-01,2.332617474285414438e-01,2.419521365532179280e-01
2.211055276381909684e-01,2.297877251016663402e-01,2.390507414320848234e-01,2.478525756618427389e-01
2.261306532663316660e-01,2.354699417615390700e-01,2.448477831096342039e-01,2.537572139901854151e-01
2.311557788944723635e-01,2.411643208866132149e-01,2.506524123996304310e-01,2.596646450588296906e-01
